obscd,obsnm,sbsncd,mngorg
3302617,정읍시(종산리),330201,한국수자원공사
3302620,정읍시(거산교),330202,환경부
3302630,정읍시(정우교),330208,환경부
3302643,정읍시(상동교),330203,환경부
3302645,정읍시(죽림교),330203,환경부
3302653,정읍시(정읍교),330203,환경부
3302655,정읍시(정읍천대교),330203,환경부
3302657,정읍시(풍월교),330205,환경부
3302658,정읍시(초강리),330203,환경부
3302660,정읍시(양전교),330206,환경부
3302665,김제시(군포교),330208,환경부
3302675,부안군(평교),330205,환경부
3302680,김제시(용동교),330101,환경부
3302685,김제시(죽산교),330206,환경부
3303110,부안댐,330303,한국수자원공사
4005620,장남,330204,한국농어촌공사
4001610,진안군(좌포교),400103,환경부
4001620,임실군(호암교),400105,한국수자원공사
4001660,순창군(운암교),400108,한국수자원공사
4002605,임실군(섬진강댐),400201,한국수자원공사
4002610,임실군(회문리),400201,한국수자원공사
4002640,임실군(일중리),400201,환경부
4002690,순창군(평남리),400203,환경부
4003650,임실군(신기교),400302,환경부
4003690,순창군(현포리),400303,환경부
4004615,순창군(유적교),400401,환경부
4004630,순창군(옥천교),400402,환경부
4004640,순창군(유풍교),400402,환경부
4004650,곡성군(합강교),400403,환경부
4004660,남원시(신덕리),400404,환경부
4004690,곡성군(금곡교),400404,환경부
4005627,장수군(동화저수지),400501,환경부
4005645,남원시(월석교),400502,환경부
4005660,남원시(요천교),400503,환경부
4005670,남원시(동림교),400504,환경부
4005690,남원시(요천대교),400504,환경부
4006660,곡성군(고달교),400601,환경부
4006680,곡성군(예성교),400902,환경부
4007615,죽동교,400702,한국수력원자력
4007620,광곡교,410106,한국수력원자력
4007625,보성군(보성강댐),400702,한국수자원공사
4007630,보성군(가장교),400703,한국수자원공사
4007660,화순군(동복댐),400705,한국수자원공사
4007670,화순군(용리교),400705,한국수자원공사
4007695,순천시(주암댐),400707,한국수자원공사
4008650,순천시(광천교),400801,한국수자원공사
4008655,곡성군(목사동2교),400801,한국수자원공사
4008660,곡성군(목사동1교),400801,환경부
4008670,곡성군(태안교),400802,환경부
4009608,순천시(용서교),400901,환경부
4009610,구례군(구례교),400902,환경부
4009625,구례군(서시교),400903,환경부
4009630,구례군(송정리),400905,환경부
4009638,하동군(가탄교),400906,환경부
4009640,광양시(남도대교),400907,환경부
4009650,광양시(고사리),400907,환경부
4009665,하동군(읍내리),400911,환경부
4009670,하동군(대석교),400909,환경부
4104603,순천시(송전교),410401,한국수자원공사
4104610,순천시(노동교),410401,한국수자원공사
4104620,순천시(주암조절지댐),410401,한국수자원공사
4104625,순천시(주암조절지방수로),410402,한국수자원공사
4104655,순천시(주암조절지조정지댐),410402,한국수자원공사
4104665,순천시(노디목교),410402,환경부
4104680,순천시(동천교),410403,환경부
4104685,순천시(연동교),410402,환경부
4105210,수어댐,410503,한국수자원공사
4105630,광양시(서산교),410501,환경부
4105640,광양시(용강교),410501,환경부
4105665,광양시(지원교),410503,한국수자원공사
4105670,광양시(수어천교),410503,한국수자원공사
5001610,담양군(담양댐),500103,환경부
5001615,담양군(금월교),500103,환경부
5001618,담양군(장천교),500103,한국수자원공사
5001620,담양군(덕용교),500102,환경부
5001625,담양군(삼지교),500103,환경부
5001627,담양군(양지교),500105,환경부
5001630,담양군(광주댐),500104,환경부
5001640,광주광역시(용산교),500106,환경부
5001645,광주광역시(첨단대교),500106,환경부
5001650,광주광역시(유촌교),500107,환경부
5001655,광주광역시(풍영정천2교),500108,환경부
5001660,광주광역시(어등대교),500108,환경부
5001670,광주광역시(설월교),500107,환경부
5001673,광주광역시(천교),500107,환경부
5001680,광주광역시(극락교),500108,환경부
5002610,장성군(용동교),500108,환경부
5002620,장성군(장성댐),500201,환경부
5002643,장성군(금계리),500202,환경부
5002650,장성군(제2황룡교),500204,환경부
